ID,EXTERNAL_ID,STEPS,SUBMISSION_TIME,UPDATED_AT
6969162,2227,153,"2024-02-13T01:00:00.000+0100","2024-02-14T04:30:02.313+0100"
6968025,2227,4710,"2024-02-13T01:00:00.000+0100","2024-02-13T22:00:01.006+0100"
6966205,2227,305,"2024-02-13T01:00:00.000+0100","2024-02-13T18:00:01.197+0100"
7035007,2227,88,"2024-02-23T01:00:00.000+0100","2024-02-24T16:00:01.051+0100"
6969163,2227,541,"2024-02-14T01:00:00.000+0100","2024-02-14T04:30:02.339+0100"
7029749,2227,3433,"2024-02-23T01:00:00.000+0100","2024-02-23T18:00:00.962+0100"
6964189,2227,493,"2024-02-13T01:00:00.000+0100","2024-02-13T12:30:01.007+0100"
6963414,2227,859,"2024-02-13T01:00:00.000+0100","2024-02-13T08:00:01.170+0100"
6957848,2227,591,"2024-02-11T01:00:00.000+0100","2024-02-12T12:30:01.178+0100"
7027803,2227,3550,"2024-02-23T01:00:00.000+0100","2024-02-23T12:30:01.206+0100"
6958876,2227,4113,"2024-02-12T01:00:00.000+0100","2024-02-12T16:00:01.137+0100"
6981854,2227,929,"2024-02-16T01:00:00.000+0100","2024-02-16T04:30:01.481+0100"
6970713,2227,2284,"2024-02-14T01:00:00.000+0100","2024-02-14T12:30:01.064+0100"
6931853,2227,863,"2024-02-08T01:00:00.000+0100","2024-02-08T04:30:02.049+0100"
6938108,2227,57,"2024-02-08T01:00:00.000+0100","2024-02-09T04:30:01.236+0100"
7000559,2227,5643,"2024-02-18T01:00:00.000+0100","2024-02-19T04:30:01.333+0100"
6951505,2227,701,"2024-02-10T01:00:00.000+0100","2024-02-11T12:30:01.213+0100"
6995371,2227,3240,"2024-02-18T01:00:00.000+0100","2024-02-18T12:30:01.161+0100"
6951506,2227,908,"2024-02-11T01:00:00.000+0100","2024-02-11T12:30:01.240+0100"
6955238,2227,13169,"2024-02-11T01:00:00.000+0100","2024-02-11T22:00:00.936+0100"
6945577,2227,2331,"2024-02-10T01:00:00.000+0100","2024-02-10T12:30:01.095+0100"
6927151,2227,1,"2024-02-07T11:31:26.000+0100","2024-02-07T11:31:32.808+0100"
6949172,2227,10488,"2024-02-10T01:00:00.000+0100","2024-02-10T22:00:00.989+0100"
6981853,2227,1296,"2024-02-15T01:00:00.000+0100","2024-02-16T04:30:01.457+0100"
6944394,2227,1391,"2024-02-10T01:00:00.000+0100","2024-02-10T04:30:01.162+0100"
6977056,2227,2380,"2024-02-15T01:00:00.000+0100","2024-02-15T12:30:01.330+0100"
6978920,2227,290,"2024-02-15T01:00:00.000+0100","2024-02-15T18:00:01.204+0100"
6978035,2227,4171,"2024-02-15T01:00:00.000+0100","2024-02-15T16:00:02.738+0100"
6942385,2227,3274,"2024-02-09T01:00:00.000+0100","2024-02-09T20:00:01.186+0100"
6979776,2227,4340,"2024-02-15T01:00:00.000+0100","2024-02-15T20:00:01.158+0100"
6939594,2227,3034,"2024-02-09T01:00:00.000+0100","2024-02-09T12:30:01.492+0100"
6937654,2227,140,"2024-02-08T01:00:00.000+0100","2024-02-09T00:00:01.300+0100"
7003238,2227,3708,"2024-02-19T01:00:00.000+0100","2024-02-19T16:00:01.204+0100"
7004149,2227,992,"2024-02-19T01:00:00.000+0100","2024-02-19T18:00:01.141+0100"
7006028,2227,1833,"2024-02-19T01:00:00.000+0100","2024-02-19T22:00:01.218+0100"
6973566,2227,4810,"2024-02-14T01:00:00.000+0100","2024-02-14T20:00:01.017+0100"
6933314,2227,3171,"2024-02-08T01:00:00.000+0100","2024-02-08T12:30:01.068+0100"
6934310,2227,3667,"2024-02-08T01:00:00.000+0100","2024-02-08T16:00:00.912+0100"
6935218,2227,3148,"2024-02-08T01:00:00.000+0100","2024-02-08T18:00:01.098+0100"
6974446,2227,308,"2024-02-14T01:00:00.000+0100","2024-02-14T22:00:01.051+0100"
7000560,2227,16,"2024-02-19T01:00:00.000+0100","2024-02-19T04:30:01.350+0100"
7013680,2227,4760,"2024-02-20T01:00:00.000+0100","2024-02-21T04:30:01.187+0100"
6971724,2227,3612,"2024-02-14T01:00:00.000+0100","2024-02-14T16:00:01.010+0100"
6936918,2227,2209,"2024-02-08T01:00:00.000+0100","2024-02-08T22:00:00.981+0100"
6931852,2227,4665,"2024-02-07T01:00:00.000+0100","2024-02-08T04:30:02.025+0100"
7059249,2227,3907,"2024-02-27T01:00:00.000+0100","2024-02-28T06:00:01.426+0100"
6927170,2227,2676,"2024-02-07T01:00:00.000+0100","2024-02-07T12:30:01.480+0100"
6972707,2227,82,"2024-02-14T01:00:00.000+0100","2024-02-14T18:00:01.184+0100"
6927169,2227,5177,"2024-02-06T01:00:00.000+0100","2024-02-07T12:30:01.455+0100"
6975544,2227,170,"2024-02-14T01:00:00.000+0100","2024-02-15T04:30:02.087+0100"
6984338,2227,3185,"2024-02-16T01:00:00.000+0100","2024-02-16T16:00:01.228+0100"
7008863,2227,2507,"2024-02-20T01:00:00.000+0100","2024-02-20T12:30:01.088+0100"
7007225,2227,722,"2024-02-20T01:00:00.000+0100","2024-02-20T04:30:01.987+0100"
7005063,2227,1946,"2024-02-19T01:00:00.000+0100","2024-02-19T20:00:01.189+0100"
7002191,2227,2937,"2024-02-19T01:00:00.000+0100","2024-02-19T12:30:01.318+0100"
7010787,2227,153,"2024-02-20T01:00:00.000+0100","2024-02-20T18:00:01.155+0100"
6928111,2227,4749,"2024-02-07T01:00:00.000+0100","2024-02-07T16:00:01.008+0100"
6993682,2227,14007,"2024-02-17T01:00:00.000+0100","2024-02-18T00:00:01.187+0100"
6986919,2227,4217,"2024-02-16T01:00:00.000+0100","2024-02-16T22:00:01.237+0100"
6987617,2227,95,"2024-02-16T01:00:00.000+0100","2024-02-17T00:00:01.168+0100"
6988068,2227,18,"2024-02-16T01:00:00.000+0100","2024-02-17T04:30:01.119+0100"
6983355,2227,5217,"2024-02-16T01:00:00.000+0100","2024-02-16T12:30:00.980+0100"
6994169,2227,895,"2024-02-18T01:00:00.000+0100","2024-02-18T04:30:01.006+0100"
6990412,2227,3575,"2024-02-17T01:00:00.000+0100","2024-02-17T16:00:01.013+0100"
6994168,2227,362,"2024-02-17T01:00:00.000+0100","2024-02-18T04:30:00.988+0100"
6985234,2227,2478,"2024-02-16T01:00:00.000+0100","2024-02-16T18:00:00.981+0100"
6989315,2227,203,"2024-02-17T01:00:00.000+0100","2024-02-17T12:30:01.224+0100"
6940686,2227,4976,"2024-02-09T01:00:00.000+0100","2024-02-09T16:00:01.132+0100"
6944393,2227,132,"2024-02-09T01:00:00.000+0100","2024-02-10T04:30:01.141+0100"
6943913,2227,605,"2024-02-09T01:00:00.000+0100","2024-02-10T00:00:01.124+0100"
6941582,2227,1425,"2024-02-09T01:00:00.000+0100","2024-02-09T18:00:01.175+0100"
5879904,5744,5320,"2023-04-23T00:47:44.000+0200","2023-04-22T22:47:59.024+0200"
6087018,5744,4992,"2023-06-11T23:02:05.000+0200","2023-06-11T21:02:13.890+0200"
5956432,5744,6012,"2023-05-09T02:00:00.000+0200","2023-05-10T16:17:19.290+0200"
5841459,5744,4915,"2023-04-14T00:21:22.000+0200","2023-04-13T22:21:54.521+0200"
5972887,5744,4985,"2023-05-14T23:29:21.000+0200","2023-05-14T21:29:29.679+0200"
5976999,5744,4098,"2023-05-15T22:16:40.000+0200","2023-05-15T20:16:49.738+0200"
6102698,5744,4788,"2023-06-15T22:41:26.000+0200","2023-06-15T20:41:36.029+0200"
6084812,5744,5118,"2023-06-10T02:00:00.000+0200","2023-06-11T09:34:39.206+0200"
5847597,5744,4936,"2023-04-14T02:00:00.000+0200","2023-04-15T15:26:43.178+0200"
6062525,5744,4990,"2023-06-05T22:53:24.000+0200","2023-06-05T20:53:38.234+0200"
6000725,5744,5432,"2023-05-21T02:00:00.000+0200","2023-05-21T21:55:57.672+0200"
5861778,5744,4022,"2023-04-18T22:09:35.000+0200","2023-04-18T20:09:47.748+0200"
5964228,5744,4353,"2023-05-12T21:22:11.000+0200","2023-05-12T19:22:25.492+0200"
6122267,5744,4690,"2023-06-20T23:45:07.000+0200","2023-06-20T21:45:18.129+0200"
5870526,5744,8419,"2023-04-20T22:14:42.000+0200","2023-04-20T20:14:55.480+0200"
6110339,5744,5413,"2023-06-17T23:27:17.000+0200","2023-06-17T21:27:27.938+0200"
6054557,5744,5893,"2023-06-04T01:20:56.000+0200","2023-06-03T23:21:06.878+0200"
5950026,5744,4973,"2023-05-09T00:26:36.000+0200","2023-05-08T22:26:49.121+0200"
6118162,5744,5285,"2023-06-19T22:16:04.000+0200","2023-06-19T20:16:10.308+0200"
5887877,5744,3955,"2023-04-23T02:00:00.000+0200","2023-04-24T19:11:22.281+0200"
5874516,5744,4255,"2023-04-21T21:45:15.000+0200","2023-04-21T19:45:22.467+0200"
5892254,5744,3450,"2023-04-25T20:23:47.000+0200","2023-04-25T18:23:57.128+0200"
6144958,5744,5542,"2023-06-26T23:07:16.000+0200","2023-06-26T21:07:25.214+0200"
5833048,5744,5600,"2023-04-12T01:30:47.000+0200","2023-04-11T23:30:58.850+0200"
6032053,5744,5010,"2023-05-28T02:00:00.000+0200","2023-05-29T14:15:51.410+0200"
6054556,5744,4836,"2023-06-02T02:00:00.000+0200","2023-06-03T23:20:55.593+0200"
5923578,5744,9012,"2023-05-02T21:25:26.000+0200","2023-05-02T19:25:44.712+0200"
6135619,5744,5336,"2023-06-23T02:00:00.000+0200","2023-06-24T11:12:46.812+0200"
5932493,5744,5210,"2023-05-04T21:21:51.000+0200","2023-05-04T19:22:07.111+0200"
